Family,Subfamily,Tribe,Genus,Species,Subspecies,Accession#,Country,Specimen Sex,Flag,user-supplied name,valid name
,,,Macrosoma,albistria,,RWH-96-0879,Brazil,,Valid Name,,Macrosoma albistria
,,,Macrosoma,bahiata,,RWH-96-0878,Brazil,,Valid Name,,Macrosoma bahiata
,,,Macrosoma,bahiata,,07-SRNP-59506,Costa Rica,,Valid Name,,Macrosoma bahiata
,,,Macrosoma,cascaria,,06-SRNP-1523,Costa Rica,,Valid Name,,Macrosoma cascaria
,,,Macrosoma,cascaria,,06-SRNP-3000,Costa Rica,,Valid Name,,Macrosoma cascaria
,,,Macrosoma,cascaria,,06-SRNP-7215,Costa Rica,,Valid Name,,Macrosoma cascaria
,,,Macrosoma,conifera,,VOB-00-9811,Costa Rica,,Valid Name,,Macrosoma conifera
,,,Macrosoma,conifera,,VOB-01-0024,unknown,,Valid Name,,Macrosoma conifera
,,,Macrosoma,conifera,,kn-06-1106,Costa Rica,,Valid Name,,Macrosoma conifera
,,,Macrosoma,conifera,,kn-06-1109,Costa Rica,,Valid Name,,Macrosoma conifera
,,,Macrosoma,conifera,,kn-06-1113,Costa Rica,,Valid Name,,Macrosoma conifera
,,,Macrosoma,conifera,,06-srnp-46449,Costa Rica,,Valid Name,,Macrosoma conifera
,,,Macrosoma,satellitiata,,MEE-98-0042,Brazil,,Valid Name,,Macrosoma satellitiata
,,,Macrosoma,stabilinota,,MEE-05-0044,Costa Rica,,Valid Name,,Macrosoma stabilinota
,,,Macrosoma,tipulata,,06-SRNP-32401,Costa Rica,,Synonym,,Macrosoma tipulata
,,,Macrosoma,tipulata,,06-SRNP-32405,Costa Rica,,Synonym,,Macrosoma tipulata
,,,Macrosoma ,cascaria,,08-SRNP-35841,Costa Rica,,Valid Name,,Macrosoma cascaria
,,,Macrosoma ,cascaria,,08-SRNP-35916,Costa Rica,,Valid Name,,Macrosoma cascaria
