Family,Subfamily,Tribe,Genus,Species,Subspecies,Accession#,Country,Specimen Sex
,,,Macrosoma,albistria,,RWH-96-0879,Brazil,
,,,Macrosoma,bahiata,,RWH-96-0878,Brazil,
,,,Macrosoma,bahiata,,07-SRNP-59506,Costa Rica,
,,,Macrosoma,cascaria,,06-SRNP-1523,Costa Rica,
,,,Macrosoma,cascaria,,06-SRNP-3000,Costa Rica,
,,,Macrosoma,cascaria,,06-SRNP-7215,Costa Rica,
,,,Macrosoma,conifera,,VOB-00-9811,Costa Rica,
,,,Macrosoma,conifera,,VOB-01-0024,unknown,
,,,Macrosoma,conifera,,kn-06-1106,Costa Rica,
,,,Macrosoma,conifera,,kn-06-1109,Costa Rica,
,,,Macrosoma,conifera,,kn-06-1113,Costa Rica,
,,,Macrosoma,conifera,,06-srnp-46449,Costa Rica,
,,,Macrosoma,satellitiata,,MEE-98-0042,Brazil,
,,,Macrosoma,stabilinota,,MEE-05-0044,Costa Rica,
,,,Macrosoma,tipulata,,06-SRNP-32401,Costa Rica,
,,,Macrosoma,tipulata,,06-SRNP-32405,Costa Rica,
,,,Macrosoma ,cascaria,,08-SRNP-35841,Costa Rica,
,,,Macrosoma ,cascaria,,08-SRNP-35916,Costa Rica,
