Family,Subfamily,Tribe,Genus,Species,Subspecies,Accession#,Country
Lycaenidae,,,Eumaeus,godartii  ,,08-SRNP-22420,Costa Rica
Lycaenidae,,,Eumaeus,godartii  ,,08-SRNP-22458,Costa Rica
Lycaenidae,,,Eumaeus,godartii  ,,08-SRNP-71894,Costa Rica
Lycaenidae,,,Strymon,Strymon,megarus,09-SRNP-12268,Costa Rica
Lycaenidae,,,Strymon,Strymon,megarus,09-SRNP-12271,Costa Rica
Lycaenidae,,,Strymon,Strymon,megarus,09-SRNP-12273,Costa Rica
Lycaenidae,Curetinae,,Curetis,bulis,stigmata,MWT-93-A028,Malaysia
Lycaenidae,Lycaeninae,,Lycaena,dispar,,SWC-09-5016,Korea
Lycaenidae,Lycaeninae,,Lycaena,phlaeas,,SWC-09-5017,Korea
Lycaenidae,Lycaeninae,Polyommatini,Pseudozizeeria,maha,,AYK-04-5608,Japan
Lycaenidae,Miletinae,Liphyrini,Liphyra,brassolis,,KD-94-T063,Australia
Lycaenidae,Polyommatinae,,Celastrina,argiolus,,SWC-09-5020,Korea
Lycaenidae,Polyommatinae,,Cupido,argiades,,SWC-09-5019,Korea
Lycaenidae,Polyommatinae,Polyommatini,Pseudolucia,collina,,AYK-04-0533-3,Chile
Lycaenidae,Theclinae,,Rapala,caerulea,,SWC-09-5015,Korea
Lycaenidae,Theclinae,,Theritas,hemon,,08-SRNP-32941,Costa Rica
Lycaenidae,Theclinae,,Theritas ,hemon,,08-SRNP-32933,Costa Rica
Lycaenidae,Theclinae,,Theritas ,hemon,,08-SRNP-32935,Costa Rica
Lycaenidae,Theclinae,Arhopalini,Arhopala,japonica,,AYK-04-5616,Japan
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,05-srnp-19467,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,05-srnp-19469,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,06-SRNP-36914,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,06-SRNP-36927,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,06-SRNP-36929,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,06-SRNP-36930,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,06-SRNP-36931,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,06-SRNP-36932,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Brangas ,neora,,05-srnp-60321.04,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Brangas ,neora,,05-srnp-60321.05,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Brangas ,neora,,05-srnp-60321.1,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Brangas ,neora,,05-srnp-60321.6,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Calycopis,cecrops,,AV-91-0076,U.S.A.
Lycaenidae,Theclinae,Eumaeini,Eumaeus,godartii,,06-SRNP-34145,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Eumaeus,godartii,,06-SRNP-34157,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Eumaeus,godartii,,06-SRNP-34164,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Eumaeus,godartii,,06-SRNP-34168,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Eumaeus ,godarti,,05-srnp-33797,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Eumaeus ,godarti,,05-srnp-33798,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Eumaeus ,godarti,,05-srnp-33799,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Evenus,regalis,,07-SRNP-23058,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Evenus,regalis,,07-SRNP-23061,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Panthiades,bitias,,06-SRNP-12644,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Panthiades,bitias,,06-SRNP-12725,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Panthiades,bitias,,06-SRNP-16135,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Panthiades,bitias  ,,08-SRNP-21370,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Pseudolycaena,damo,,07-SRNP-34311,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Satyrium,favonius,,AV-91-0075,U.S.A.
Lycaenidae,Theclinae,Eumaeini,Strymon,eurytulus,,AYK-04-0543-11,Chile
Lycaenidae,Theclinae,Eumaeini,Strymon,megarus,,06-SRNP-12181,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Strymon,megarus,,06-SRNP-12183,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Strymon,megarus,,06-SRNP-12185,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Strymon,melinus,,SW-07-0008,U.S.A.
Lycaenidae,Theclinae,Eumaeini,Symbiopsis,tanais,,07-SRNP-55131,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Theritas,lisus,,07-SRNP-1887,Costa Rica
Lycaenidae,Theclinae,Eumaeini,Theritas,lisus,,07-SRNP-1903,Costa Rica
Lycaenidae,unassigned,,Pseudozizeeria,maha,,SWC-09-5018,Korea
